filename,algorithm,,population,stepSize,time,memory,generation
gosperglidergun.rle,hashlife,,0,2,0,8580568,0
gosperglidergun.rle,hashlife,,43,2,8.425,9098720,2
gosperglidergun.rle,hashlife,,51,2,7.155,9306536,4
gosperglidergun.rle,hashlife,,51,2,3.83,7946696,6
gosperglidergun.rle,hashlife,,61,2,3.79,7985928,8
gosperglidergun.rle,hashlife,,48,2,3.235,8112112,10
gosperglidergun.rle,hashlife,,54,2,7.4,8309512,12
gosperglidergun.rle,hashlife,,56,2,3.305,8432256,14
gosperglidergun.rle,hashlife,,44,2,4.17,8567712,16
gosperglidergun.rle,hashlife,,53,2,3.645,8662576,18
gosperglidergun.rle,hashlife,,54,2,3.685,8809720,20
gosperglidergun.rle,hashlife,,49,2,9.795,8386560,22
gosperglidergun.rle,hashlife,,43,2,3.62,9029520,24
gosperglidergun.rle,hashlife,,47,2,4.514999999,8833096,26
gosperglidergun.rle,hashlife,,50,2,3.57,9473088,28
gosperglidergun.rle,hashlife,,41,2,3.41,9120520,30
gosperglidergun.rle,hashlife,,48,2,2.71,9644648,32
gosperglidergun.rle,hashlife,,56,2,2.875,9089544,34
gosperglidergun.rle,hashlife,,56,2,3.16,9649064,36
gosperglidergun.rle,hashlife,,66,2,3.23,10234040,38
gosperglidergun.rle,hashlife,,53,2,4.565,9205104,40
gosperglidergun.rle,hashlife,,59,2,2.94,9648880,42
gosperglidergun.rle,hashlife,,61,2,3.09,10248600,44
gosperglidergun.rle,hashlife,,49,2,3.26,7385664,46
gosperglidergun.rle,hashlife,,58,2,3.065,7876960,48
gosperglidergun.rle,hashlife,,59,2,3.085,8389576,50
gosperglidergun.rle,hashlife,,54,2,3.64,7687152,52
gosperglidergun.rle,hashlife,,48,2,2.79,8233208,54
gosperglidergun.rle,hashlife,,52,2,2.76,7860296,56
gosperglidergun.rle,hashlife,,55,2,3.16,8405752,58
gosperglidergun.rle,hashlife,,46,2,2.98,8912376,60
gosperglidergun.rle,hashlife,,53,2,3.16,9444528,62
gosperglidergun.rle,hashlife,,61,2,3.635,10398912,64
