filename,algorithm,generation,population,stepSize,time,memory
primequadrupletcalculator.rle,hashlife,1,3541,1,65.625,42157344
primequadrupletcalculator.rle,hashlife,2,3602,1,55.92500000000291,44441312
primequadrupletcalculator.rle,hashlife,3,3659,1,64.78500000000349,57937712
primequadrupletcalculator.rle,hashlife,4,3716,1,77.28500000000349,56593176
primequadrupletcalculator.rle,hashlife,5,3748,1,45.09000000000378,59343648
primequadrupletcalculator.rle,hashlife,6,3837,1,39.05999999999767,56623000
primequadrupletcalculator.rle,hashlife,7,3858,1,39.104999999995925,54105112
primequadrupletcalculator.rle,hashlife,8,3926,1,36.734999999993306,65470296
primequadrupletcalculator.rle,hashlife,9,4041,1,58.37999999999738,62471872
primequadrupletcalculator.rle,hashlife,10,4033,1,70.70000000000437,56375488
primequadrupletcalculator.rle,hashlife,11,4069,1,32.00499999999738,67336728
primequadrupletcalculator.rle,hashlife,12,4082,1,36.83499999999913,63154520
primequadrupletcalculator.rle,hashlife,13,4150,1,36.92500000000291,60381296
primequadrupletcalculator.rle,hashlife,14,4164,1,32.075000000004366,71390808
primequadrupletcalculator.rle,hashlife,15,4177,1,37.1449999999968,68483928
primequadrupletcalculator.rle,hashlife,16,4169,1,37.30500000000757,65594392
primequadrupletcalculator.rle,hashlife,17,4166,1,31.419999999998254,76246256
primequadrupletcalculator.rle,hashlife,18,4173,1,35.08999999999651,72616808
primequadrupletcalculator.rle,hashlife,19,4121,1,62.080000000001746,80675320
primequadrupletcalculator.rle,hashlife,20,4135,1,49.8949999999968,84786464
primequadrupletcalculator.rle,hashlife,21,4094,1,44.80999999999767,85809800
primequadrupletcalculator.rle,hashlife,22,4193,1,44.12000000000262,85991224
primequadrupletcalculator.rle,hashlife,23,4126,1,42.63500000000204,85930728
primequadrupletcalculator.rle,hashlife,24,4235,1,42.099999999998545,85399392
primequadrupletcalculator.rle,hashlife,25,4171,1,36.76499999999942,98732056
primequadrupletcalculator.rle,hashlife,26,4204,1,35.46499999999651,97719552
primequadrupletcalculator.rle,hashlife,27,4211,1,43.46499999999651,101883536
primequadrupletcalculator.rle,hashlife,28,4194,1,37.43999999999505,99760904
primequadrupletcalculator.rle,hashlife,29,4246,1,32.98999999999796,111819528
primequadrupletcalculator.rle,hashlife,30,4195,1,32.13500000000204,109676552
primequadrupletcalculator.rle,hashlife,31,4265,1,39.974999999998545,107343656
primequadrupletcalculator.rle,hashlife,32,4187,1,36.36000000000058,104953784
primequadrupletcalculator.rle,hashlife,33,4301,1,32.419999999998254,116743848
primequadrupletcalculator.rle,hashlife,34,4292,1,36.404999999998836,114194296
primequadrupletcalculator.rle,hashlife,35,4302,1,34.645000000004075,111040888
primequadrupletcalculator.rle,hashlife,36,4286,1,31.145000000004075,122094320
primequadrupletcalculator.rle,hashlife,37,4277,1,34.450000000004366,118822168
